CGPA,Attendance,Backlogs,ParentalIncome,BehaviorRating,PerformanceTrend,RiskLabel
9.55,65,1,48756,9,1,Medium Risk
9.73,65,1,80640,7,1,Medium Risk
9.26,66,3,81180,7,-1,High Risk
3.86,59,0,120448,4,-1,High Risk
4.5,88,2,89459,9,1,High Risk
2.71,57,5,61934,4,1,High Risk
5.85,45,4,136020,3,-1,High Risk
6.32,82,6,37192,7,-1,High Risk
9.26,87,6,98461,5,1,High Risk
8.92,47,6,11542,8,0,High Risk
5.09,56,1,98092,5,0,Medium Risk
9.7,94,5,142396,4,0,High Risk
7.52,48,4,36790,3,1,Medium Risk
5.39,74,4,13709,4,-1,High Risk
8.42,68,0,49298,9,1,Medium Risk
5.73,54,7,113333,5,0,High Risk
8.26,74,7,44620,5,0,High Risk
9.21,65,2,23843,9,0,Medium Risk
3.3,78,5,62638,1,-1,Suspended
7.44,32,7,148186,8,0,Dropout
5.55,57,4,19337,4,0,Medium Risk
5.03,89,1,43307,5,-1,High Risk
4.03,56,5,131790,1,-1,Suspended
4.41,58,4,132402,6,0,High Risk
5.25,98,6,139473,8,0,High Risk
8.76,34,6,11015,1,0,Dropout
8.32,78,2,72292,9,0,Low Risk
8.47,78,4,28017,9,1,Low Risk
3.04,50,7,22763,1,-1,Dropout
9.8,32,4,33574,5,-1,Dropout
9.37,46,4,131288,1,1,Suspended
4.14,33,5,47744,8,0,Dropout
4.79,68,1,71877,6,1,High Risk
6.06,41,0,125765,5,0,Medium Risk
8.84,86,0,29198,7,1,Low Risk
8.12,43,1,63682,7,0,Medium Risk
6.81,67,1,65393,2,0,Suspended
6.33,80,6,85745,4,-1,High Risk
6.01,59,6,53088,5,-1,High Risk
3.15,85,0,29963,4,-1,High Risk
9.64,82,1,79836,3,1,Low Risk
3.01,84,7,147162,6,-1,Dropout
8.99,96,2,79724,2,-1,Suspended
3.5,48,4,121195,6,-1,High Risk
6.28,34,0,61745,1,0,Dropout
4.57,56,0,33321,9,1,High Risk
6.9,85,5,128831,1,0,Suspended
8.77,37,0,60428,4,1,Dropout
6.19,85,5,149789,7,0,High Risk
5.61,55,5,146198,3,1,High Risk
8.59,47,1,98869,3,1,Medium Risk
3.89,57,1,11062,9,-1,High Risk
3.65,73,0,114592,4,-1,High Risk
7.3,96,0,135036,2,1,Suspended
6.56,63,6,83479,8,-1,High Risk
6.4,71,0,58447,2,1,Suspended
4.78,99,4,126148,6,-1,High Risk
3.19,33,5,86125,8,1,Dropout
8.57,32,2,14324,4,1,Dropout
8.99,33,6,141189,1,0,Dropout
3.33,80,5,63441,8,0,High Risk
4.18,73,4,147541,6,1,High Risk
3.56,49,0,137534,1,0,Suspended
7.99,67,4,11917,4,-1,High Risk
6.15,62,5,75545,5,1,High Risk
6.28,31,4,15287,2,-1,Dropout
3.08,46,0,103070,8,0,High Risk
5.21,78,4,22219,2,0,Suspended
9.28,38,1,94555,3,1,Dropout
9.23,93,5,147023,8,1,High Risk
8.2,43,3,98861,3,-1,High Risk
3.45,55,5,30611,9,-1,High Risk
6.59,47,7,49711,3,-1,High Risk
4.35,52,6,77728,1,1,Suspended
4.99,82,7,102263,3,1,High Risk
2.91,35,2,106646,3,0,Dropout
3.09,44,6,81324,1,0,Dropout
8.97,65,4,20789,9,-1,High Risk
7.51,56,6,12336,4,0,High Risk
7.57,34,2,56197,6,-1,Dropout
2.86,81,7,139038,8,-1,Dropout
5.79,97,3,144828,2,1,Suspended
7.0,65,3,134714,5,1,Medium Risk
9.48,67,5,65318,8,0,High Risk
2.79,89,2,47219,4,-1,High Risk
9.2,60,1,65176,6,1,Medium Risk
7.74,69,0,144869,7,-1,High Risk
2.88,50,1,142717,4,0,High Risk
8.53,30,6,129719,5,1,Dropout
2.43,38,1,49224,5,0,Dropout
4.6,92,3,149649,7,0,High Risk
5.75,46,7,51914,3,0,High Risk
3.38,81,5,29956,8,-1,High Risk
4.83,92,2,14757,2,-1,Suspended
6.02,78,3,62853,6,1,Medium Risk
9.78,78,6,11759,7,1,High Risk
3.64,91,7,143789,1,-1,Dropout
4.95,45,7,74077,3,1,High Risk
6.12,67,2,129614,4,-1,High Risk
4.61,84,6,58770,3,0,High Risk
6.11,84,3,36399,2,1,Suspended
7.14,94,0,40678,8,0,Low Risk
4.65,96,2,95595,8,0,High Risk
8.28,61,7,123453,4,-1,High Risk
3.1,43,6,76358,2,1,Dropout
6.94,62,6,128865,2,-1,Suspended
8.38,49,2,113145,2,1,Suspended
6.6,41,3,24596,5,0,Medium Risk
8.04,38,1,148155,3,0,Dropout
7.96,53,0,29063,7,-1,High Risk
5.78,43,0,45367,2,-1,Suspended
5.14,51,2,61693,4,0,Medium Risk
6.1,66,2,66133,2,-1,Suspended
8.36,70,5,131829,7,-1,High Risk
2.09,56,0,91182,6,1,High Risk
6.66,41,4,57924,7,0,Medium Risk
9.13,55,4,99563,2,0,Suspended
7.76,80,4,21555,3,0,Low Risk
2.53,40,7,99599,4,-1,Dropout
7.63,83,1,14853,6,-1,High Risk
5.77,65,6,124130,3,1,High Risk
8.6,55,1,142596,9,-1,High Risk
4.74,30,0,141132,8,0,Dropout
5.59,64,2,38145,5,1,Medium Risk
4.12,41,2,101748,1,-1,Suspended
8.16,86,6,67134,8,1,High Risk
7.71,50,0,142822,5,0,Medium Risk
6.97,54,1,87454,9,-1,High Risk
7.23,61,1,39711,7,-1,High Risk
3.41,36,5,149892,7,-1,Dropout
3.5,88,6,147809,4,1,Dropout
5.55,88,1,76150,1,0,Suspended
6.65,89,4,144055,7,1,Low Risk
2.51,44,7,16640,4,-1,Dropout
7.16,42,1,123824,2,1,Suspended
5.6,63,5,39430,2,1,Suspended
2.55,75,3,55084,1,-1,Suspended
2.29,86,7,95431,9,0,Dropout
2.72,34,0,42733,1,1,Dropout
5.65,59,1,122573,5,-1,High Risk
4.16,82,5,145566,1,-1,Suspended
7.3,41,2,53001,5,-1,High Risk
4.02,99,6,134343,8,1,High Risk
9.05,54,6,90435,4,1,High Risk
5.13,92,5,51844,3,-1,High Risk
2.94,86,1,128533,5,-1,High Risk
6.91,78,0,86898,4,0,Low Risk
6.1,64,1,122855,3,1,Medium Risk
3.75,97,5,93300,2,1,Suspended
8.84,96,2,75160,3,-1,High Risk
8.65,71,0,56542,8,-1,High Risk
6.3,88,1,35559,6,1,Medium Risk
7.64,47,5,116532,5,-1,High Risk
8.64,69,4,125005,3,0,Medium Risk
6.46,69,1,81719,1,0,Suspended
6.07,69,3,115228,9,-1,High Risk
7.31,92,2,143541,7,-1,High Risk
8.87,87,0,59138,7,0,Low Risk
3.01,82,5,52534,2,0,Suspended
8.49,41,6,85713,1,-1,Suspended
6.93,89,7,41575,3,0,High Risk
4.21,92,3,101357,5,-1,High Risk
8.15,49,7,125953,4,1,High Risk
3.3,41,5,73888,6,-1,High Risk
2.45,79,5,125374,4,1,High Risk
3.01,36,4,133786,1,0,Dropout
4.9,61,2,37082,7,0,High Risk
3.24,58,3,99186,9,1,High Risk
6.11,58,4,33411,2,1,Suspended
7.31,51,2,32042,3,-1,High Risk
9.51,85,3,43756,5,1,Low Risk
5.27,88,3,58901,3,-1,High Risk
5.45,30,1,143052,3,-1,Dropout
7.08,41,1,28639,8,0,Medium Risk
3.59,82,7,92970,2,1,Dropout
6.88,93,3,146727,3,0,Low Risk
5.6,46,5,89083,4,-1,High Risk
3.56,89,6,139749,6,-1,Dropout
4.1,40,7,95708,1,-1,Suspended
2.57,93,1,93309,6,1,High Risk
7.42,62,3,30581,9,1,Medium Risk
5.75,70,0,49499,9,0,Medium Risk
3.11,83,5,106347,4,-1,High Risk
6.37,61,1,132720,2,-1,Suspended
2.69,59,0,122755,6,1,High Risk
3.04,75,1,137118,2,0,Suspended
3.31,78,7,81626,3,1,Dropout
2.25,35,0,140406,9,0,Dropout
9.29,79,3,144461,4,0,Low Risk
6.78,36,2,108511,4,0,Dropout
8.37,55,6,108818,9,0,High Risk
5.42,41,6,120091,9,-1,High Risk
6.8,48,6,133629,4,-1,High Risk
3.42,82,6,102447,3,0,Dropout
2.16,51,4,12920,3,0,High Risk
5.15,90,4,26309,1,1,Suspended
5.61,60,1,142028,8,-1,High Risk
4.7,49,3,49063,2,-1,Suspended
6.01,65,1,41585,4,0,Medium Risk
6.66,65,5,39426,3,0,High Risk
9.12,41,2,136503,5,1,Medium Risk
3.84,55,7,98397,2,1,Dropout
5.22,67,4,145720,6,-1,High Risk
5.47,31,6,55893,1,1,Dropout
4.43,57,1,74674,5,-1,High Risk
4.54,69,3,71367,4,-1,High Risk
3.85,60,2,54738,6,0,High Risk
4.58,39,3,121453,9,-1,Dropout
5.51,37,2,118856,6,-1,Dropout
6.72,76,4,25563,5,-1,High Risk
8.58,73,7,126891,6,1,High Risk
2.87,31,0,101155,1,1,Dropout
3.75,88,4,74178,4,-1,High Risk
5.74,72,5,136945,9,0,High Risk
9.59,68,6,66503,2,1,Suspended
7.2,52,7,114061,4,0,High Risk
3.57,37,1,133008,7,-1,Dropout
5.46,34,6,120677,2,-1,Dropout
8.54,72,1,38625,1,0,Suspended
8.78,75,3,111376,3,1,Low Risk
7.14,82,7,120169,2,0,Suspended
6.72,92,0,121279,9,-1,High Risk
6.42,97,1,124044,6,0,Medium Risk
9.22,48,5,46321,2,-1,Suspended
8.22,30,7,125142,9,-1,Dropout
4.53,44,4,45643,9,-1,High Risk
3.85,64,3,89973,3,0,High Risk
7.01,95,5,87576,3,-1,High Risk
8.73,77,1,41348,9,-1,High Risk
5.11,66,6,56819,7,0,High Risk
7.83,72,4,34596,7,1,Low Risk
2.06,76,4,97163,9,1,High Risk
4.96,97,4,56413,4,-1,High Risk
4.22,56,4,131999,4,0,High Risk
7.59,78,4,96365,7,1,Low Risk
8.7,68,4,73646,7,1,Medium Risk
2.83,71,4,147513,8,0,High Risk
8.29,30,3,81031,7,0,Dropout
8.39,38,1,47384,8,0,Dropout
4.81,71,7,129503,1,0,Suspended
3.99,97,1,115111,3,1,High Risk
7.21,47,2,91571,1,1,Suspended
6.58,76,0,27633,1,1,Suspended
6.18,51,7,78388,3,1,High Risk
6.26,39,0,17421,9,0,Dropout
4.14,36,4,104018,6,-1,Dropout
7.6,53,3,48467,6,0,Medium Risk
9.06,65,7,122356,1,1,Suspended
5.13,99,0,135926,4,-1,High Risk
6.05,31,3,20756,5,0,Dropout
6.62,96,5,55113,3,0,High Risk
7.22,73,1,135541,1,1,Suspended
7.7,59,3,107543,6,0,Medium Risk
9.47,60,6,35592,7,0,High Risk
2.75,84,7,78619,1,1,Dropout
9.23,52,3,58231,6,-1,High Risk
7.75,94,0,108452,4,0,Low Risk
4.0,61,0,125700,6,0,High Risk
2.49,65,0,15782,2,-1,Suspended
4.81,31,2,139992,1,1,Dropout
8.44,91,6,28073,4,0,High Risk
6.02,64,5,75450,6,-1,High Risk
5.05,41,6,108864,6,0,High Risk
6.9,59,7,55033,6,1,High Risk
8.16,81,5,88222,5,1,High Risk
3.35,31,2,140513,4,0,Dropout
7.0,54,1,84520,6,-1,High Risk
9.2,43,0,41055,6,0,Medium Risk
3.36,32,2,33429,9,-1,Dropout
4.87,37,4,27347,9,1,Dropout
9.51,89,3,17967,4,0,Low Risk
4.17,92,5,127407,2,1,Suspended
3.19,34,2,52913,9,0,Dropout
5.78,79,4,129863,9,1,Medium Risk
3.87,50,0,38141,3,1,High Risk
7.4,33,3,64823,1,-1,Dropout
6.8,81,4,108723,6,1,Low Risk
7.65,92,5,109071,3,1,High Risk
6.1,43,6,86373,5,0,High Risk
3.94,91,2,16548,6,0,High Risk
4.03,39,6,116297,8,1,Dropout
6.83,42,4,69353,2,-1,Suspended
9.61,74,7,10163,1,1,Suspended
4.07,40,6,32420,4,1,High Risk
3.16,97,1,138563,2,1,Suspended
4.93,81,4,127360,9,-1,High Risk
7.14,70,0,13631,1,0,Suspended
9.26,89,7,137734,2,1,Suspended
5.51,78,6,17099,7,-1,High Risk
3.17,61,3,73936,7,-1,High Risk
2.37,72,0,17788,3,1,High Risk
2.09,34,3,98340,8,0,Dropout
5.6,40,3,135426,3,1,Medium Risk
5.21,34,5,134917,8,0,Dropout
2.16,37,7,137896,9,0,Dropout
7.21,96,0,107661,4,0,Low Risk
2.54,91,6,56857,5,1,Dropout
9.64,42,4,49071,2,1,Suspended
2.34,46,7,99489,7,-1,Dropout
4.9,88,5,65419,9,0,High Risk
9.36,59,3,86971,3,0,Medium Risk
2.1,50,2,40841,7,1,High Risk
8.6,76,1,110500,5,0,Low Risk
8.57,36,6,118255,6,0,Dropout
9.68,51,3,103980,2,0,Suspended
3.03,81,2,54638,3,1,High Risk
8.56,51,2,37044,1,1,Suspended
4.32,48,6,39725,7,1,High Risk
8.84,37,1,65147,5,1,Dropout
9.74,93,1,132721,9,0,Low Risk
7.79,75,6,86865,9,-1,High Risk
6.2,65,5,118777,6,-1,High Risk
2.09,63,4,99464,4,1,High Risk
7.9,99,7,92617,4,1,High Risk
5.5,49,1,123175,6,1,Medium Risk
3.08,83,7,129654,5,0,Dropout
6.83,33,3,43848,4,-1,Dropout
6.59,33,4,79122,8,-1,Dropout
6.52,84,3,46727,8,0,Low Risk
6.68,48,6,119458,1,1,Suspended
2.6,51,7,52092,6,-1,Dropout
8.15,93,2,67775,4,0,Low Risk
4.56,84,0,109134,4,-1,High Risk
6.67,76,2,43787,6,-1,High Risk
3.35,99,3,59811,6,1,High Risk
8.55,38,1,13471,5,-1,Dropout
6.41,39,1,56850,1,0,Dropout
8.49,99,0,93820,3,-1,High Risk
2.44,64,5,80553,3,-1,High Risk
8.57,66,3,143168,5,0,Medium Risk
9.31,99,1,15105,3,-1,High Risk
8.09,99,0,27069,9,1,Low Risk
9.2,65,4,142503,6,1,Medium Risk
3.93,43,7,17896,6,-1,Dropout
5.8,85,2,143715,2,0,Suspended
6.38,50,3,27073,1,1,Suspended
4.71,44,1,125359,8,1,High Risk
9.51,44,7,75428,8,0,High Risk
7.7,87,4,38228,3,1,Low Risk
3.55,78,2,97896,5,-1,High Risk
3.43,62,1,101006,9,1,High Risk
7.33,62,0,107852,2,0,Suspended
6.23,68,5,55232,1,0,Suspended
2.64,99,1,79184,5,-1,High Risk
9.38,86,1,131673,2,1,Suspended
7.08,69,5,40651,3,1,High Risk
8.13,93,7,73878,5,0,High Risk
4.58,44,7,106468,6,0,High Risk
3.86,69,1,39118,2,-1,Suspended
2.73,32,7,101179,1,0,Dropout
5.88,35,6,98664,2,1,Dropout
8.05,80,2,143623,8,-1,High Risk
6.51,84,0,47991,2,0,Suspended
5.49,99,3,90257,7,1,Medium Risk
4.83,56,1,142970,8,0,High Risk
3.1,30,6,99087,8,-1,Dropout
7.71,77,2,77843,6,0,Low Risk
2.65,61,0,72987,7,-1,High Risk
5.26,50,5,129052,2,0,Suspended
9.64,88,6,30095,5,-1,High Risk
2.73,97,0,102051,2,0,Suspended
2.62,34,2,107756,9,0,Dropout
6.22,89,3,132232,2,1,Suspended
7.08,32,3,22763,5,0,Dropout
2.78,64,3,119089,9,1,High Risk
5.51,87,2,115400,7,0,Medium Risk
7.76,40,5,42602,3,-1,High Risk
2.98,45,1,142161,3,1,High Risk
3.36,49,3,31447,7,1,High Risk
2.6,96,3,97960,6,1,High Risk
3.66,86,4,119869,4,0,High Risk
9.05,46,6,108696,3,-1,High Risk
9.01,35,2,32746,7,1,Dropout
2.87,75,5,12659,5,0,High Risk
4.97,59,6,22109,4,-1,High Risk
2.33,43,1,44518,6,-1,High Risk
4.28,80,2,15075,7,0,High Risk
7.67,48,6,66307,8,0,High Risk
2.94,65,7,53472,9,-1,Dropout
5.66,43,2,105028,3,-1,High Risk
4.34,70,3,18259,8,0,High Risk
7.21,70,7,127886,7,-1,High Risk
8.54,77,5,76314,2,-1,Suspended
6.07,98,7,68643,5,1,High Risk
5.81,90,0,56403,3,-1,High Risk
2.5,94,7,42174,8,0,Dropout
5.39,76,6,36649,4,-1,High Risk
3.33,50,2,106019,9,-1,High Risk
6.99,84,6,40795,3,0,High Risk
4.05,63,2,21190,9,-1,High Risk
4.1,67,5,12261,9,0,High Risk
4.82,41,5,145450,8,1,High Risk
4.16,94,0,52604,1,1,Suspended
3.53,64,7,106055,1,-1,Dropout
6.19,78,5,68557,8,1,High Risk
8.58,68,4,13828,1,0,Suspended
5.1,83,5,146535,5,-1,High Risk
6.81,50,2,124598,7,-1,High Risk
2.23,93,2,91554,1,1,Suspended
5.21,90,4,144393,5,-1,High Risk
6.96,59,4,76262,1,1,Suspended
8.8,47,1,48211,1,1,Suspended
7.17,48,6,20651,8,-1,High Risk
2.55,44,0,71350,2,1,Suspended
7.04,95,2,84637,2,1,Suspended
9.12,68,3,70058,5,0,Medium Risk
6.13,32,7,32785,1,-1,Dropout
5.29,64,2,77534,5,-1,High Risk
8.3,54,6,60583,9,0,High Risk
8.6,83,2,131251,3,-1,High Risk
4.15,82,5,72493,2,1,Suspended
5.51,73,6,64312,7,1,High Risk
6.54,86,5,93555,1,1,Suspended
5.99,57,4,78803,5,-1,High Risk
4.7,49,2,127961,2,1,Suspended
4.66,40,0,21120,6,-1,High Risk
6.14,77,3,101575,6,-1,High Risk
2.82,79,4,148141,8,1,High Risk
6.15,74,3,17597,6,1,Medium Risk
5.03,80,1,130956,5,0,Medium Risk
3.01,66,1,18036,3,1,High Risk
5.46,47,3,147416,1,-1,Suspended
4.25,76,5,81155,1,-1,Suspended
9.57,51,3,37716,5,-1,High Risk
6.32,63,4,96836,7,1,Medium Risk
4.78,61,4,140544,5,0,High Risk
7.28,50,3,10138,7,1,Medium Risk
3.29,92,7,91532,3,-1,Dropout
6.88,40,3,65568,3,0,Medium Risk
6.86,53,1,94754,5,1,Medium Risk
5.08,57,4,100768,5,0,Medium Risk
3.78,93,2,142212,2,1,Suspended
4.76,76,3,86021,5,0,High Risk
8.17,34,0,142279,4,-1,Dropout
8.84,41,5,76418,3,0,High Risk
9.65,81,7,88518,4,0,High Risk
6.08,91,7,12454,9,1,High Risk
6.5,80,4,123613,2,1,Suspended
6.7,33,6,135438,9,-1,Dropout
5.43,48,6,31826,5,-1,High Risk
9.58,90,6,100102,2,0,Suspended
7.36,72,2,128325,5,0,Low Risk
4.6,64,7,68653,9,0,High Risk
2.07,48,1,20503,1,1,Suspended
2.02,96,0,130356,8,-1,High Risk
8.41,30,3,104754,2,1,Dropout
2.69,38,1,64189,4,0,Dropout
2.19,32,5,42955,2,-1,Dropout
9.45,45,1,90807,1,1,Suspended
8.57,45,5,121041,8,1,High Risk
3.65,63,6,78487,7,0,Dropout
3.19,84,2,111084,7,-1,High Risk
8.57,46,0,132258,5,1,Medium Risk
7.05,60,0,26566,7,0,Medium Risk
5.54,83,3,35235,2,0,Suspended
5.61,82,7,56101,4,-1,High Risk
9.15,37,1,84763,7,1,Dropout
4.22,78,6,122056,1,0,Suspended
8.11,47,7,36917,1,1,Suspended
6.55,37,0,90811,9,-1,Dropout
9.26,94,2,42402,9,1,Low Risk
8.76,97,3,123550,3,-1,High Risk
5.29,99,7,130779,3,-1,High Risk
2.9,58,0,102122,9,1,High Risk
2.03,52,4,108538,5,-1,High Risk
4.17,40,0,103635,9,0,High Risk
4.1,41,4,135737,1,-1,Suspended
5.89,57,7,76914,2,0,Suspended
8.01,42,1,37364,4,1,Medium Risk
7.61,38,0,62389,6,0,Dropout
3.68,74,4,67505,9,1,High Risk
2.98,32,3,68283,5,0,Dropout
3.55,50,3,36672,6,0,High Risk
6.02,73,6,143172,5,0,High Risk
4.63,43,1,34472,3,1,High Risk
4.58,41,5,64131,8,-1,High Risk
5.62,89,1,112518,1,0,Suspended
8.69,82,1,81354,9,0,Low Risk
3.42,36,7,40431,5,-1,Dropout
8.03,87,6,61955,9,0,High Risk
6.45,72,4,62870,4,1,Medium Risk
7.27,61,2,37606,9,-1,High Risk
5.1,33,7,100306,9,-1,Dropout
3.92,57,4,43870,7,0,High Risk
6.54,38,6,84707,2,1,Dropout
9.51,57,5,92152,1,1,Suspended
7.66,86,1,123688,3,1,Low Risk
9.66,97,6,17006,1,-1,Suspended
9.39,83,3,28990,9,0,Low Risk
2.49,34,3,15939,9,1,Dropout
2.35,62,1,57118,5,0,High Risk
2.59,67,5,94565,2,0,Suspended
6.26,42,6,77293,3,0,High Risk
8.74,37,3,141564,1,-1,Dropout
9.65,79,2,64110,6,-1,High Risk
3.54,77,7,83402,9,1,Dropout
5.58,47,2,48870,7,0,Medium Risk
6.85,55,5,35372,2,-1,Suspended
9.49,95,1,149783,8,0,Low Risk
7.6,94,2,111971,8,0,Low Risk
8.02,73,0,94388,4,-1,High Risk
4.94,57,1,29710,5,0,High Risk
4.51,95,6,15722,6,-1,High Risk
3.92,96,3,93596,4,-1,High Risk
3.2,56,1,138498,1,-1,Suspended
7.94,96,3,110755,5,0,Low Risk
9.16,46,1,55740,4,-1,High Risk
6.4,97,0,73232,4,1,Medium Risk
5.95,70,0,44681,1,-1,Suspended
3.16,70,4,88532,8,1,High Risk
5.33,55,2,118946,7,1,Medium Risk
9.05,55,7,17812,5,0,High Risk
8.09,44,1,135555,8,-1,High Risk
4.31,75,3,73353,3,-1,High Risk
5.59,53,2,55095,4,0,Medium Risk
8.04,53,1,94995,3,0,Medium Risk
8.83,82,7,47044,9,-1,High Risk
6.61,89,5,44148,9,0,High Risk
3.56,67,4,48402,3,0,High Risk
7.69,67,2,105742,4,1,Medium Risk
5.24,42,6,61001,2,0,Suspended
4.54,54,7,40106,3,0,High Risk
2.98,76,5,136479,8,0,High Risk
5.07,50,7,25088,7,1,High Risk
7.88,61,2,88077,9,-1,High Risk
9.43,39,5,37128,1,1,Dropout
7.57,50,4,143872,1,1,Suspended
5.97,65,0,20728,8,0,Medium Risk
7.44,68,2,101118,7,0,Medium Risk
7.69,86,0,23050,9,-1,High Risk
3.11,99,5,52291,5,1,High Risk
2.93,78,3,10174,7,-1,High Risk
4.43,44,3,60719,4,0,High Risk
2.13,72,3,28919,1,0,Suspended
8.58,33,7,80533,9,-1,Dropout
9.54,94,4,49194,6,-1,High Risk
9.5,91,2,68002,9,1,Low Risk
4.42,52,1,74887,6,1,High Risk
5.91,36,5,137426,2,1,Dropout
9.07,41,5,69722,5,1,High Risk
5.21,35,0,10887,1,0,Dropout
2.65,48,5,132746,2,0,Suspended
4.92,97,0,56220,4,0,High Risk
7.72,43,6,114245,8,-1,High Risk
4.54,92,1,104776,8,0,High Risk
5.51,46,1,105556,9,-1,High Risk
3.48,70,0,128490,1,1,Suspended
4.06,39,1,42088,3,0,Dropout
4.24,67,5,100265,7,1,High Risk
3.34,49,2,78136,6,1,High Risk
6.86,95,5,140356,2,0,Suspended
9.53,56,1,22360,1,0,Suspended
4.44,88,3,28689,4,-1,High Risk
2.91,39,4,58442,6,1,Dropout
8.89,51,3,133489,9,-1,High Risk
5.18,74,3,75618,1,0,Suspended
5.11,75,1,131759,6,0,Medium Risk
2.79,56,5,88513,3,1,High Risk
2.66,54,3,79212,9,1,High Risk
2.07,46,2,101176,2,-1,Suspended
2.71,52,6,72943,4,1,Dropout
2.23,98,2,15039,2,1,Suspended
5.58,96,5,96346,2,0,Suspended
9.42,39,1,146355,8,0,Dropout
5.1,94,6,20103,8,1,High Risk
8.01,35,2,18024,7,-1,Dropout
8.75,83,4,96664,2,1,Suspended
5.54,90,1,145530,6,0,Medium Risk
5.9,66,6,83233,2,1,Suspended
4.28,40,1,17352,4,0,High Risk
5.92,90,2,39493,8,1,Medium Risk
4.19,32,5,86709,2,-1,Dropout
4.03,67,4,15103,5,-1,High Risk
3.45,50,1,57406,4,1,High Risk
2.86,98,0,12187,8,0,High Risk
6.18,50,4,136270,4,-1,High Risk
8.46,75,7,101683,1,0,Suspended
4.12,90,0,27413,3,-1,High Risk
5.92,51,0,86240,7,1,Medium Risk
5.23,58,6,11700,7,-1,High Risk
7.63,52,4,15520,7,-1,High Risk
7.61,35,3,74925,1,0,Dropout
3.29,71,2,99037,3,0,High Risk
6.05,57,2,79166,6,1,Medium Risk
3.83,44,5,112811,8,1,High Risk
6.34,76,0,46320,3,1,Medium Risk
7.43,76,1,18640,2,0,Suspended
5.21,30,1,80463,7,0,Dropout
6.0,42,4,140841,1,1,Suspended
3.59,78,6,100932,1,-1,Dropout
6.77,72,0,133130,3,1,Low Risk
8.91,61,1,139048,6,-1,High Risk
6.18,94,4,118117,9,1,Medium Risk
2.99,58,2,128696,3,1,High Risk
2.59,59,0,52215,2,1,Suspended
